,destination,passanger,weather,temperature,time,coupon,expiration,gender,age,maritalStatus,has_children,education,occupation,income,Bar,CoffeeHouse,CarryAway,RestaurantLessThan20,Restaurant20To50,toCoupon_GEQ5min,toCoupon_GEQ15min,toCoupon_GEQ25min,direction_same,direction_opp,Y
504,No Urgent Place,Partner,Sunny,80,10AM,Bar,2h,Male,26,Unmarried partner,0,Bachelors degree,Community & Social Services,$12500 - $24999,never,,less1,less1,less1,1,0,0,0,1,0
505,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Community & Social Services,$12500 - $24999,never,,less1,less1,less1,1,1,0,0,1,0
506,No Urgent Place,Partner,Sunny,80,6PM,Restaurant(<20),2h,Male,26,Unmarried partner,0,Bachelors degree,Community & Social Services,$12500 - $24999,never,,less1,less1,less1,1,0,0,0,1,1
507,No Urgent Place,Partner,Sunny,80,6PM,Bar,1d,Male,26,Unmarried partner,0,Bachelors degree,Community & Social Services,$12500 - $24999,never,,less1,less1,less1,1,1,0,0,1,0
508,Home,Alone,Sunny,55,6PM,Bar,1d,Male,26,Unmarried partner,0,Bachelors degree,Community & Social Services,$12500 - $24999,never,,less1,less1,less1,1,0,0,1,0,0
509,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Male,26,Unmarried partner,0,Bachelors degree,Community & Social Services,$12500 - $24999,never,,less1,less1,less1,1,1,0,0,1,1
510,Home,Alone,Sunny,80,6PM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Community & Social Services,$12500 - $24999,never,,less1,less1,less1,1,0,0,0,1,0
511,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Community & Social Services,$12500 - $24999,never,,less1,less1,less1,1,1,1,0,1,0
512,Work,Alone,Sunny,55,7AM,Bar,1d,Male,26,Unmarried partner,0,Bachelors degree,Community & Social Services,$12500 - $24999,never,,less1,less1,less1,1,1,1,0,1,0
513,Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Male,26,Unmarried partner,0,Bachelors degree,Community & Social Services,$12500 - $24999,never,,less1,less1,less1,1,1,0,0,1,0
514,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Male,26,Unmarried partner,0,Bachelors degree,Community & Social Services,$12500 - $24999,never,,less1,less1,less1,1,0,0,1,0,1
515,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Male,26,Unmarried partner,0,Bachelors degree,Community & Social Services,$12500 - $24999,never,,less1,less1,less1,1,0,0,0,1,1
516,Work,Alone,Sunny,55,7AM,Coffee House,2h,Male,26,Unmarried partner,0,Bachelors degree,Community & Social Services,$12500 - $24999,never,,less1,less1,less1,1,1,0,0,1,0
517,No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,50plus,Divorced,1,Some college - no degree,Management,$62500 - $74999,,,,,,1,0,0,0,1,0
518,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,50plus,Divorced,1,Some college - no degree,Management,$62500 - $74999,,,,,,1,0,0,0,1,0
519,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,50plus,Divorced,1,Some college - no degree,Management,$62500 - $74999,,,,,,1,1,0,0,1,1
520,No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,50plus,Divorced,1,Some college - no degree,Management,$62500 - $74999,,,,,,1,0,0,0,1,0
521,No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,50plus,Divorced,1,Some college - no degree,Management,$62500 - $74999,,,,,,1,0,0,0,1,1
522,No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Male,50plus,Divorced,1,Some college - no degree,Management,$62500 - $74999,,,,,,1,0,0,0,1,1
852,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Male,41,Married partner,0,Bachelors degree,Unemployed,$87500 - $99999,,,,,,1,0,0,0,1,1
853,No Urgent Place,Partner,Sunny,80,10AM,Restaurant(20-50),1d,Male,41,Married partner,0,Bachelors degree,Unemployed,$87500 - $99999,,,,,,1,0,0,0,1,1
854,No Urgent Place,Partner,Sunny,80,10AM,Bar,2h,Male,41,Married partner,0,Bachelors degree,Unemployed,$87500 - $99999,,,,,,1,0,0,0,1,0
855,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Male,41,Married partner,0,Bachelors degree,Unemployed,$87500 - $99999,,,,,,1,1,0,0,1,1
856,No Urgent Place,Partner,Sunny,80,6PM,Restaurant(<20),2h,Male,41,Married partner,0,Bachelors degree,Unemployed,$87500 - $99999,,,,,,1,0,0,0,1,1
857,No Urgent Place,Partner,Sunny,80,6PM,Bar,1d,Male,41,Married partner,0,Bachelors degree,Unemployed,$87500 - $99999,,,,,,1,1,0,0,1,1
902,No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,31,Unmarried partner,1,Associates degree,Education&Training&Library,$50000 - $62499,never,never,4~8,,never,1,0,0,0,1,1
903,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,31,Unmarried partner,1,Associates degree,Education&Training&Library,$50000 - $62499,never,never,4~8,,never,1,0,0,0,1,1
904,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,31,Unmarried partner,1,Associates degree,Education&Training&Library,$50000 - $62499,never,never,4~8,,never,1,1,0,0,1,1
905,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,31,Unmarried partner,1,Associates degree,Education&Training&Library,$50000 - $62499,never,never,4~8,,never,1,1,0,0,1,1
906,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,31,Unmarried partner,1,Associates degree,Education&Training&Library,$50000 - $62499,never,never,4~8,,never,1,1,0,0,1,1
907,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,31,Unmarried partner,1,Associates degree,Education&Training&Library,$50000 - $62499,never,never,4~8,,never,1,1,0,0,1,1
908,No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,31,Unmarried partner,1,Associates degree,Education&Training&Library,$50000 - $62499,never,never,4~8,,never,1,1,0,0,1,1
909,No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Female,31,Unmarried partner,1,Associates degree,Education&Training&Library,$50000 - $62499,never,never,4~8,,never,1,1,0,0,1,1
910,No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Female,31,Unmarried partner,1,Associates degree,Education&Training&Library,$50000 - $62499,never,never,4~8,,never,1,1,0,0,1,1
911,No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Female,31,Unmarried partner,1,Associates degree,Education&Training&Library,$50000 - $62499,never,never,4~8,,never,1,1,0,0,1,0
912,No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Female,31,Unmarried partner,1,Associates degree,Education&Training&Library,$50000 - $62499,never,never,4~8,,never,1,0,0,0,1,1
913,No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Female,31,Unmarried partner,1,Associates degree,Education&Training&Library,$50000 - $62499,never,never,4~8,,never,1,1,0,0,1,1
914,No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Female,31,Unmarried partner,1,Associates degree,Education&Training&Library,$50000 - $62499,never,never,4~8,,never,1,1,0,0,1,1
915,Home,Alone,Sunny,55,6PM,Bar,1d,Female,31,Unmarried partner,1,Associates degree,Education&Training&Library,$50000 - $62499,never,never,4~8,,never,1,0,0,1,0,0
916,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,31,Unmarried partner,1,Associates degree,Education&Training&Library,$50000 - $62499,never,never,4~8,,never,1,1,0,0,1,1
917,Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,31,Unmarried partner,1,Associates degree,Education&Training&Library,$50000 - $62499,never,never,4~8,,never,1,0,0,0,1,1
918,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,31,Unmarried partner,1,Associates degree,Education&Training&Library,$50000 - $62499,never,never,4~8,,never,1,1,1,0,1,1
919,Work,Alone,Sunny,55,7AM,Bar,1d,Female,31,Unmarried partner,1,Associates degree,Education&Training&Library,$50000 - $62499,never,never,4~8,,never,1,1,1,0,1,0
920,Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,31,Unmarried partner,1,Associates degree,Education&Training&Library,$50000 - $62499,never,never,4~8,,never,1,1,0,0,1,1
921,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,31,Unmarried partner,1,Associates degree,Education&Training&Library,$50000 - $62499,never,never,4~8,,never,1,0,0,1,0,1
922,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,31,Unmarried partner,1,Associates degree,Education&Training&Library,$50000 - $62499,never,never,4~8,,never,1,0,0,0,1,1
923,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,31,Unmarried partner,1,Associates degree,Education&Training&Library,$50000 - $62499,never,never,4~8,,never,1,1,0,0,1,1
1166,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Male,26,Unmarried partner,0,Some college - no degree,Computer & Mathematical,$50000 - $62499,,,,,,1,0,0,0,1,1
1167,No Urgent Place,Partner,Sunny,80,10AM,Restaurant(20-50),1d,Male,26,Unmarried partner,0,Some college - no degree,Computer & Mathematical,$50000 - $62499,,,,,,1,0,0,0,1,1
1168,No Urgent Place,Partner,Sunny,80,10AM,Bar,2h,Male,26,Unmarried partner,0,Some college - no degree,Computer & Mathematical,$50000 - $62499,,,,,,1,0,0,0,1,1
1169,No Urgent Place,Partner,Sunny,80,10AM,Coffee House,2h,Male,26,Unmarried partner,0,Some college - no degree,Computer & Mathematical,$50000 - $62499,,,,,,1,1,0,0,1,0
1170,No Urgent Place,Partner,Sunny,80,6PM,Restaurant(<20),2h,Male,26,Unmarried partner,0,Some college - no degree,Computer & Mathematical,$50000 - $62499,,,,,,1,0,0,0,1,1
1171,No Urgent Place,Partner,Sunny,80,6PM,Bar,1d,Male,26,Unmarried partner,0,Some college - no degree,Computer & Mathematical,$50000 - $62499,,,,,,1,1,0,0,1,1
1194,No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,,1,0,0,0,1,1
1195,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,,1,0,0,0,1,0
1196,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,,1,1,0,0,1,1
1197,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,,1,1,0,0,1,0
1198,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,,1,1,0,0,1,0
1199,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,,1,1,0,0,1,1
1200,No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,,1,1,0,0,1,1
1201,No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,,1,1,0,0,1,1
1202,No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,,1,1,0,0,1,1
1203,No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,,1,1,0,0,1,0
1204,No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,,1,0,0,0,1,1
1205,No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,,1,1,0,0,1,0
1206,Home,Alone,Sunny,55,6PM,Bar,1d,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,,1,0,0,1,0,1
1207,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,,1,1,0,0,1,1
1208,Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,,1,0,0,0,1,0
1209,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,,1,1,1,0,1,0
1210,Work,Alone,Sunny,55,7AM,Bar,1d,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,,1,1,1,0,1,1
1211,Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,,1,1,0,0,1,0
1212,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,,1,0,0,1,0,1
1213,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,,1,0,0,0,1,0
1214,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,31,Married partner,1,Some college - no degree,Sales & Related,$12500 - $24999,1~3,,4~8,4~8,,1,1,0,0,1,0
2380,No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,26,Single,0,Some college - no degree,Computer & Mathematical,$87500 - $99999,,,,,,1,0,0,0,1,1
2381,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,26,Single,0,Some college - no degree,Computer & Mathematical,$87500 - $99999,,,,,,1,0,0,0,1,0
2382,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,26,Single,0,Some college - no degree,Computer & Mathematical,$87500 - $99999,,,,,,1,1,0,0,1,1
2383,No Urgent Place,Friend(s),Sunny,80,6PM,Coffee House,2h,Male,26,Single,0,Some college - no degree,Computer & Mathematical,$87500 - $99999,,,,,,1,0,0,0,1,0
2384,No Urgent Place,Friend(s),Sunny,55,2PM,Coffee House,2h,Male,26,Single,0,Some college - no degree,Computer & Mathematical,$87500 - $99999,,,,,,1,0,0,0,1,0
2385,No Urgent Place,Alone,Sunny,55,10AM,Coffee House,2h,Male,26,Single,0,Some college - no degree,Computer & Mathematical,$87500 - $99999,,,,,,1,0,0,0,1,1
2866,No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Female,31,Married partner,1,Some college - no degree,Business & Financial,$37500 - $49999,,,,,,1,1,0,0,1,1
2867,No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Female,31,Married partner,1,Some college - no degree,Business & Financial,$37500 - $49999,,,,,,1,1,0,0,1,1
2868,No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Female,31,Married partner,1,Some college - no degree,Business & Financial,$37500 - $49999,,,,,,1,1,0,0,1,0
2869,No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Female,31,Married partner,1,Some college - no degree,Business & Financial,$37500 - $49999,,,,,,1,0,0,0,1,1
2870,No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Female,31,Married partner,1,Some college - no degree,Business & Financial,$37500 - $49999,,,,,,1,1,0,0,1,1
2871,No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Female,31,Married partner,1,Some college - no degree,Business & Financial,$37500 - $49999,,,,,,1,1,0,0,1,0
2872,No Urgent Place,Alone,Sunny,55,2PM,Restaurant(<20),1d,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3,1,0,0,0,1,1
2873,No Urgent Place,Friend(s),Sunny,80,10AM,Coffee House,2h,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3,1,0,0,0,1,1
2874,No Urgent Place,Friend(s),Sunny,80,10AM,Carry out & Take away,2h,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3,1,1,0,0,1,0
2875,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,2h,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3,1,1,0,0,1,1
2876,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3,1,1,0,0,1,1
2877,No Urgent Place,Friend(s),Sunny,80,6PM,Restaurant(<20),2h,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3,1,1,0,0,1,1
2878,No Urgent Place,Friend(s),Sunny,55,2PM,Carry out & Take away,1d,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3,1,1,0,0,1,1
2879,No Urgent Place,Kid(s),Sunny,80,10AM,Restaurant(<20),2h,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3,1,1,0,0,1,1
2880,No Urgent Place,Kid(s),Sunny,80,10AM,Carry out & Take away,2h,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3,1,1,0,0,1,1
2881,No Urgent Place,Kid(s),Sunny,80,10AM,Bar,1d,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3,1,1,0,0,1,0
2882,No Urgent Place,Kid(s),Sunny,80,2PM,Restaurant(<20),1d,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3,1,0,0,0,1,1
2883,No Urgent Place,Kid(s),Sunny,55,2PM,Restaurant(<20),1d,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3,1,1,0,0,1,1
2884,No Urgent Place,Kid(s),Sunny,55,6PM,Coffee House,2h,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3,1,1,0,0,1,0
2885,Home,Alone,Sunny,55,6PM,Bar,1d,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3,1,0,0,1,0,1
2886,Home,Alone,Sunny,55,6PM,Restaurant(20-50),1d,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3,1,1,0,0,1,0
2887,Home,Alone,Sunny,80,6PM,Coffee House,2h,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3,1,0,0,0,1,1
2888,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3,1,1,1,0,1,0
2889,Work,Alone,Sunny,55,7AM,Bar,1d,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3,1,1,1,0,1,1
2890,Work,Alone,Sunny,80,7AM,Restaurant(20-50),1d,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3,1,1,0,0,1,1
2891,Work,Alone,Sunny,80,7AM,Carry out & Take away,2h,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3,1,0,0,1,0,1
2892,Work,Alone,Sunny,55,7AM,Restaurant(<20),1d,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3,1,0,0,0,1,1
2893,Work,Alone,Sunny,55,7AM,Coffee House,2h,Female,36,Married partner,1,Bachelors degree,Education&Training&Library,$50000 - $62499,,1~3,4~8,1~3,1~3,1,1,0,0,1,0
3137,No Urgent Place,Friend(s),Sunny,80,10AM,Bar,1d,Male,21,Single,0,High School Graduate,Unemployed,Less than $12500,,,,,,1,0,0,0,1,0
3138,No Urgent Place,Friend(s),Sunny,80,2PM,Coffee House,1d,Male,21,Single,0,High School Graduate,Unemployed,Less than $12500,,,,,,1,0,0,0,1,1
3139,No Urgent Place,Friend(s),Sunny,80,2PM,Restaurant(<20),1d,Male,21,Single,0,High School Graduate,Unemployed,Less than $12500,,,,,,1,1,0,0,1,1
